Name,hermes.sivers.pi+.3d
Comment,HERMESS SSA-Sivers pi+ (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi+.3d.31,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5145956556124147,1.0,2.195562470074582,0.084,0.072,0.098,0.583,0.49,0.7,0.754,0.54,2.0,0.085157,0.032874,0.000702,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.32,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.6917446615846021,1.0,2.6053873723498393,0.116,0.098,0.138,0.239,0.2,0.28,0.139,0.0,0.23,0.013345,0.019774,0.004328,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.33,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.783255450012701,1.0,2.6053873723498393,0.116,0.098,0.138,0.239,0.2,0.28,0.292,0.23,0.36,0.003191,0.025531,0.006884,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.34,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.8063775906493083,1.0,2.6053873723498393,0.115,0.098,0.138,0.239,0.2,0.28,0.441,0.36,0.54,0.034553,0.024615,0.006374,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.35,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.8780308836651223,1.0,2.6053873723498393,0.115,0.098,0.138,0.244,0.2,0.28,0.638,0.54,2.0,0.049098,0.042187,0.000511,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.36,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5915401345866211,1.0,2.6053873723498393,0.116,0.098,0.138,0.322,0.28,0.37,0.143,0.0,0.23,0.040173,0.021072,0.001735,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.37,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.6772000476985445,1.0,2.6053873723498393,0.116,0.098,0.138,0.323,0.28,0.37,0.291,0.23,0.36,0.035081,0.027513,0.003221,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.38,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.7415510328439991,1.0,2.6053873723498393,0.116,0.098,0.138,0.322,0.28,0.37,0.442,0.36,0.54,0.063807,0.026866,0.003294,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.39,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.7919263377717287,1.0,2.6053873723498393,0.115,0.098,0.138,0.325,0.28,0.37,0.672,0.54,2.0,0.023566,0.031485,0.007113,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.40,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5527395145355192,1.0,2.6053873723498393,0.116,0.098,0.138,0.423,0.37,0.49,0.148,0.0,0.23,-0.018547,0.02487,0.001707,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.41,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5842979517754858,1.0,2.6053873723498393,0.116,0.098,0.138,0.426,0.37,0.49,0.293,0.23,0.36,0.02205,0.026376,0.002531,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.42,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.6855266239368634,1.0,2.6053873723498393,0.116,0.098,0.138,0.427,0.37,0.49,0.441,0.36,0.54,0.045402,0.029709,0.002838,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.43,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.7640861656959956,1.0,2.6053873723498393,0.116,0.098,0.138,0.427,0.37,0.49,0.716,0.54,2.0,0.055838,0.029201,0.007338,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.44,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5440207252495026,1.0,2.6053873723498393,0.116,0.098,0.138,0.577,0.49,0.7,0.151,0.0,0.23,0.0182,0.029389,0.004255,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.45,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5479018056711478,1.0,2.6053873723498393,0.116,0.098,0.138,0.579,0.49,0.7,0.296,0.23,0.36,0.065233,0.028276,0.000317,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.46,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5965587994182988,1.0,2.6053873723498393,0.116,0.098,0.138,0.582,0.49,0.7,0.441,0.36,0.54,0.105113,0.028773,0.000987,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.47,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.7271363582531636,1.0,2.6053873723498393,0.115,0.098,0.138,0.584,0.49,0.7,0.742,0.54,2.0,0.138273,0.029199,0.005899,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.48,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.2244100341438853,1.2083341335037487,5.4326082133722835,0.205,0.138,0.6,0.239,0.2,0.28,0.141,0.0,0.23,-0.009474,0.016029,0.0047,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
