Name,hermes.sivers.pi-.3d
Comment,HERMESS SSA-Sivers pi- (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi-.3d.29,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.3597793938724032,1.0,2.195562470074582,0.084,0.072,0.098,0.581,0.49,0.7,0.295,0.23,0.36,-0.024182,0.040776,0.011305,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.30,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.4131525041551602,1.0,2.195562470074582,0.084,0.072,0.098,0.582,0.49,0.7,0.442,0.36,0.54,-0.046474,0.047657,0.001603,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.31,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.504659429904322,1.0,2.195562470074582,0.084,0.072,0.098,0.58,0.49,0.7,0.751,0.54,2.0,0.023256,0.04112,0.007338,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.32,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.6902662512160622,1.0,2.6053873723498393,0.116,0.098,0.138,0.239,0.2,0.28,0.138,0.0,0.23,-0.004988,0.022742,0.001085,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.33,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.7812916661793488,1.0,2.6053873723498393,0.116,0.098,0.138,0.238,0.2,0.28,0.292,0.23,0.36,0.025755,0.029743,0.004565,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.34,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.8013883534651822,1.0,2.6053873723498393,0.115,0.098,0.138,0.239,0.2,0.28,0.442,0.36,0.54,-0.004485,0.02874,0.006537,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.35,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.8812230064508568,1.0,2.6053873723498393,0.116,0.098,0.138,0.244,0.2,0.28,0.645,0.54,2.0,0.023757,0.049714,0.007295,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.36,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5858751527153707,1.0,2.6053873723498393,0.116,0.098,0.138,0.321,0.28,0.37,0.144,0.0,0.23,0.039317,0.025398,0.005384,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.37,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.6646320914844817,1.0,2.6053873723498393,0.116,0.098,0.138,0.323,0.28,0.37,0.291,0.23,0.36,-0.007919,0.033621,0.004072,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.38,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.7271363582531636,1.0,2.6053873723498393,0.116,0.098,0.138,0.322,0.28,0.37,0.444,0.36,0.54,-0.038388,0.031575,0.00388,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
