Name,hermes.sivers.k-.3d
Comment,HERMESS SSA-Sivers k- (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.k-.3d.42,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.7149344010777787,1.0,2.6053873723498393,0.116,0.098,0.138,0.428,0.37,0.49,0.442,0.36,0.54,-0.017819,0.134923,0.014861,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.43,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.7868967513541458,1.0,2.6053873723498393,0.114,0.098,0.138,0.424,0.37,0.49,0.741,0.54,2.0,0.136302,0.107432,0.002395,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.44,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.559807680452946,1.0,2.6053873723498393,0.115,0.098,0.138,0.563,0.49,0.7,0.149,0.0,0.23,0.083832,0.138768,0.006884,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.45,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.5713051899615174,1.0,2.6053873723498393,0.115,0.098,0.138,0.572,0.49,0.7,0.295,0.23,0.36,-0.047202,0.129285,0.002009,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.46,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.6483324907311632,1.0,2.6053873723498393,0.116,0.098,0.138,0.577,0.49,0.7,0.435,0.36,0.54,0.087998,0.133438,0.004443,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.47,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.7544229820656134,1.0,2.6053873723498393,0.115,0.098,0.138,0.574,0.49,0.7,0.764,0.54,2.0,0.058407,0.125286,0.019635,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.48,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.2306949589757896,1.2083341335037487,5.4326082133722835,0.201,0.138,0.6,0.241,0.2,0.28,0.144,0.0,0.23,-0.049265,0.068529,0.00034,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.49,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.3017384734152575,1.2083341335037487,5.4326082133722835,0.206,0.138,0.6,0.241,0.2,0.28,0.29,0.23,0.36,0.034539,0.095179,0.009788,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.50,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.3058620947489468,1.2083341335037487,5.4326082133722835,0.204,0.138,0.6,0.239,0.2,0.28,0.449,0.36,0.54,0.1907,0.12204,0.024626,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.51,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.3321663748540753,1.2083341335037487,5.4326082133722835,0.205,0.138,0.6,0.245,0.2,0.28,0.663,0.54,2.0,0.009872,0.331565,0.036294,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.52,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.169792616818483,1.2083341335037487,5.4326082133722835,0.203,0.138,0.6,0.322,0.28,0.37,0.146,0.0,0.23,0.010409,0.073568,0.004921,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.53,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.2176564206386886,1.2083341335037487,5.4326082133722835,0.209,0.138,0.6,0.325,0.28,0.37,0.291,0.23,0.36,0.082452,0.083072,0.000613,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.54,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.213820227570432,1.2083341335037487,5.4326082133722835,0.205,0.138,0.6,0.325,0.28,0.37,0.441,0.36,0.54,0.046791,0.104607,0.02733,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.55,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.251221890440833,1.2083341335037487,5.4326082133722835,0.2,0.138,0.6,0.324,0.28,0.37,0.691,0.54,2.0,0.053509,0.128625,0.070376,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.56,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.085665361461421,1.2083341335037487,5.4326082133722835,0.195,0.138,0.6,0.42,0.37,0.49,0.149,0.0,0.23,0.000623,0.09227,0.013799,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.57,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.1187260323128143,1.2083341335037487,5.4326082133722835,0.205,0.138,0.6,0.423,0.37,0.49,0.293,0.23,0.36,0.136444,0.09347,0.002249,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.58,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.179449471770337,1.2083341335037487,5.4326082133722835,0.207,0.138,0.6,0.426,0.37,0.49,0.437,0.36,0.54,0.004493,0.093961,0.013899,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.59,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.206354459283458,1.2083341335037487,5.4326082133722835,0.203,0.138,0.6,0.425,0.37,0.49,0.728,0.54,2.0,0.054081,0.111115,0.028565,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.60,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.095709903588758,1.2083341335037487,5.4326082133722835,0.196,0.138,0.6,0.562,0.49,0.7,0.154,0.0,0.23,0.114289,0.119871,0.024647,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.61,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.086384432457259,1.2083341335037487,5.4326082133722835,0.201,0.138,0.6,0.571,0.49,0.7,0.294,0.23,0.36,-0.23805,0.13097,0.001265,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.62,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.1354156504062622,1.2083341335037487,5.4326082133722835,0.207,0.138,0.6,0.577,0.49,0.7,0.44,0.36,0.54,0.068764,0.105935,0.005887,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.63,1 - 1 - 12022,1 - 1 - 2022,52.657444,2.202498581157318,1.2083341335037487,5.4326082133722835,0.204,0.138,0.6,0.579,0.49,0.7,0.735,0.54,2.0,0.107279,0.118644,0.020086,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
