Name,hermes.sivers.k+.3d
Comment,HERMESS SSA-Sivers k+ (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.k+.3d.41,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.6312571838922274,1.0,2.6053873723498393,0.116,0.098,0.138,0.427,0.37,0.49,0.291,0.23,0.36,0.131963,0.066203,0.013318,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.42,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.731184565550421,1.0,2.6053873723498393,0.117,0.098,0.138,0.428,0.37,0.49,0.442,0.36,0.54,0.154892,0.07856,0.016376,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.43,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.791368192192772,1.0,2.6053873723498393,0.115,0.098,0.138,0.428,0.37,0.49,0.716,0.54,2.0,0.128143,0.069092,0.006621,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.44,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.5719414747375298,1.0,2.6053873723498393,0.116,0.098,0.138,0.574,0.49,0.7,0.15,0.0,0.23,-0.05533,0.063772,0.005462,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.45,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.581771159175688,1.0,2.6053873723498393,0.116,0.098,0.138,0.577,0.49,0.7,0.296,0.23,0.36,0.021177,0.068819,0.008173,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.46,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.6434719346554112,1.0,2.6053873723498393,0.116,0.098,0.138,0.583,0.49,0.7,0.443,0.36,0.54,0.118464,0.067195,0.002799,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.47,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.7495713760804388,1.0,2.6053873723498393,0.115,0.098,0.138,0.588,0.49,0.7,0.752,0.54,2.0,0.196745,0.066682,0.001308,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.48,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.2695814592122487,1.2083341335037487,5.4326082133722835,0.207,0.138,0.6,0.242,0.2,0.28,0.138,0.0,0.23,-0.053539,0.051071,0.006727,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.49,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.3086792761230392,1.2083341335037487,5.4326082133722835,0.208,0.138,0.6,0.243,0.2,0.28,0.292,0.23,0.36,0.10024,0.070146,0.009412,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.50,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.24966664197165,1.2083341335037487,5.4326082133722835,0.196,0.138,0.6,0.241,0.2,0.28,0.445,0.36,0.54,0.005862,0.079906,0.0145,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
