Name,hermes.d.no-vmsub.zxpt.pi-
Comment,HERMES deutron-to-pi- (zxpt-3D) no-vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.d.no-vmsub.zxpt.pi-.27,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3532729,0.3,0.375,0.9799376,0.8,1.2,0.1776792,0.004641789,0.01828843,0.005674063278007286,0.005748171389290355,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.28,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4229711,0.375,0.475,0.09769397,0.0,0.15,0.3761619,0.01787796,0.01152887,0.012012472047237092,0.011496342778580712,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.29,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4248118,0.375,0.475,0.2057207,0.15,0.25,0.7086445,0.02285486,0.1521732,0.022630075634130692,0.01724451416787107,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.30,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.427211,0.375,0.475,0.3059491,0.25,0.35,0.9902049,0.02422883,0.158579,0.031621513721318405,0.01724451416787107,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.31,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4323345,0.375,0.475,0.4106602,0.35,0.45,1.02273,0.02288609,0.1236409,0.032660180461845795,0.01724451416787106,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.32,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4366899,0.375,0.475,0.5410769,0.45,0.6,0.8250677,0.01583435,0.09534961,0.02634797060342421,0.011496342778580715,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.33,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.436964,0.375,0.475,0.7124313,0.6,0.8,0.4894366,0.00912104,0.05062062,0.01562982183042664,0.00862225708393553,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.34,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4390603,0.375,0.475,0.9649691,0.8,1.2,0.1336605,0.003180188,0.01375424,0.004268356311656585,0.0043111285419677675,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.35,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.5359247,0.475,0.6,0.1027273,0.0,0.15,0.1451317,0.01040105,0.03503927,0.004634681208857142,0.009197074222864568,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.36,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.5355355,0.475,0.6,0.2064245,0.15,0.25,0.3793949,0.01533814,0.06905846,0.012115715682833142,0.013795611334296852,True,0.1,0.85,10.0,10000.0,0.938,0.139
