Name,hermes.p.vmsub.zxpt.pi-
Comment,HERMES proton-to-pi- (zxpt-3D) vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.vmsub.zxpt.pi-.27,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3581437,0.3,0.375,0.9971298,0.8,1.2,0.1880701,0.005441141,0.009754344,0.005684823508438075,0.0054948304273133245,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.28,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4212458,0.375,0.475,0.1038083,0.0,0.15,0.294805,0.01648338,0.01019283,0.008911115559597654,0.010989660854626652,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.29,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4248629,0.375,0.475,0.2050348,0.15,0.25,0.6870249,0.02300251,0.05259189,0.020766806113264775,0.01648449128193998,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.30,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4295751,0.375,0.475,0.3079483,0.25,0.35,0.8271219,0.02265541,0.1880811,0.02500153943377478,0.016484491281939982,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.31,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4332765,0.375,0.475,0.4124587,0.35,0.45,0.9113495,0.02229233,0.1300682,0.02754749990563777,0.016484491281939972,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.32,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4331425,0.375,0.475,0.5382168,0.45,0.6,0.7611685,0.01596964,0.05836937,0.02300795598387275,0.010989660854626654,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.33,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4375076,0.375,0.475,0.71512,0.6,0.8,0.471845,0.009631586,0.01955466,0.01426253055822783,0.008242245640969986,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.34,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4407623,0.375,0.475,0.9784643,0.8,1.2,0.1266748,0.003375469,0.005407345,0.0038290184402873795,0.0041211228204849955,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.35,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.5321032,0.475,0.6,0.1037318,0.0,0.15,0.1197648,0.008648303,0.00349989,0.0036201488196336597,0.00879172868370132,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.36,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.5344866,0.475,0.6,0.2050285,0.15,0.25,0.3056249,0.01360304,0.07065222,0.009238170322045002,0.013187593025551978,True,0.1,0.85,10.0,10000.0,0.938,0.139
