Name,hermes.p.no-vmsub.zxpt.k+
Comment,HERMES proton-to-k+ (zxpt-3D) no-vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,334
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.k+.27,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3459359,0.3,0.375,0.9634789,0.8,1.2,0.04236678,0.002819156,0.02105439,0.0012806271008566703,0.0054948304273133245,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.28,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4192518,0.375,0.475,0.1006266,0.0,0.15,0.1048615,0.01120804,0.00237379,0.0031696645045123026,0.010989660854626652,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.29,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4205637,0.375,0.475,0.2033805,0.15,0.25,0.2186109,0.01561023,0.05515959,0.006607984913714647,0.01648449128193998,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.30,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.421952,0.375,0.475,0.3017185,0.25,0.35,0.2211189,0.01519907,0.09897724,0.006683794611051772,0.016484491281939982,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.31,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4286016,0.375,0.475,0.4043233,0.35,0.45,0.2114652,0.01322059,0.09470245,0.0063919907533231445,0.016484491281939972,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.32,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4286341,0.375,0.475,0.5285306,0.45,0.6,0.1986321,0.01028462,0.08890949,0.006004082688372168,0.010989660854626654,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.33,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4351368,0.375,0.475,0.7042157,0.6,0.8,0.1330905,0.006207912,0.05959073,0.004022946779683626,0.008242245640969986,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.34,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.4368278,0.375,0.475,0.9705127,0.8,1.2,0.03847995,0.002319063,0.01723345,0.0011631392994607952,0.0041211228204849955,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.35,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.5267717,0.475,0.6,0.1015766,0.0,0.15,0.05834934,0.007896015,0.01564259,0.0017637343720976705,0.00879172868370132,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.36,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.532855,0.475,0.6,0.2044313,0.15,0.25,0.1004484,0.01109804,0.005001644,0.003036269059807971,0.013187593025551978,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.37,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.5335103,0.475,0.6,0.3035926,0.25,0.35,0.1134535,0.01006911,0.01832159,0.0034293761949112543,0.013187593025551982,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.38,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.5398318,0.475,0.6,0.4064023,0.35,0.45,0.1612366,0.0108188,0.04787438,0.004873723223950147,0.013187593025551975,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.39,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.5427859,0.475,0.6,0.5323874,0.45,0.6,0.1465532,0.008071612,0.04344245,0.0044298858595642095,0.008791728683701322,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.40,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.536718,0.475,0.6,0.6963655,0.6,0.8,0.1252292,0.005688242,0.03712473,0.0037853220692863642,0.006593796512775987,True,0.1,0.85,10.0,10000.0,0.938,0.494
