Name,CDF2
Comment,CDF run2
Reference,arXiv:1207.7138
Process type,DY
Number of points,82
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.058
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CDF2.39,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,19.75,19.5,20.0,3.303,0.154,0.034,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.40,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,20.25,20.0,20.5,2.952,0.142,0.03,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.41,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,20.75,20.5,21.0,2.923,0.143,0.03,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.42,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,21.25,21.0,21.5,2.877,0.144,0.03,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.43,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,21.75,21.5,22.0,2.603,0.134,0.027,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.44,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,22.25,22.0,22.5,2.624,0.139,0.027,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.45,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,22.75,22.5,23.0,2.59,0.14,0.026,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.46,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,23.25,23.0,23.5,2.516,0.139,0.026,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.47,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,23.75,23.5,24.0,2.2,0.124,0.022,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.48,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,24.25,24.0,24.5,1.948,0.113,0.02,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.49,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,24.75,24.5,25.0,2.179,0.129,0.022,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.50,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,25.5,25.0,26.0,2.032,0.085,0.021,1.0,False,0.0,0.0,-1000.0,1000.0
CDF2.51,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,26.5,26.0,27.0,1.736,0.076,0.018,1.0,False,0.0,0.0,-1000.0,1000.0
CDF2.52,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,27.5,27.0,28.0,1.633,0.075,0.016,1.0,False,0.0,0.0,-1000.0,1000.0
CDF2.53,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,28.5,28.0,29.0,1.616,0.077,0.016,1.0,False,0.0,0.0,-1000.0,1000.0
CDF2.54,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,29.5,29.0,30.0,1.381,0.069,0.014,1.0,False,0.0,0.0,-1000.0,1000.0
CDF2.55,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,31.0,30.0,32.0,1.284,0.045,0.013,0.5,False,0.0,0.0,-1000.0,1000.0
CDF2.56,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,33.0,32.0,34.0,1.005,0.039,0.01,0.5,False,0.0,0.0,-1000.0,1000.0
CDF2.57,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,35.0,34.0,36.0,0.8769,0.0361,0.0088,0.5,False,0.0,0.0,-1000.0,1000.0
CDF2.58,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,37.0,36.0,38.0,0.7959,0.0352,0.0079,0.5,False,0.0,0.0,-1000.0,1000.0
CDF2.59,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,39.0,38.0,40.0,0.7068,0.0336,0.007,0.5,False,0.0,0.0,-1000.0,1000.0
